Year,State/Country,Marital Status, Labour Force ('000) 
1982,Malaysia,Total," 5,431.4 "
1983,Malaysia,Total," 5,671.8 "
1984,Malaysia,Total," 5,862.5 "
1985,Malaysia,Total," 5,990.1 "
1986,Malaysia,Total," 6,222.1 "
1987,Malaysia,Total," 6,456.8 "
1988,Malaysia,Total," 6,637.0 "
1989,Malaysia,Total," 6,779.4 "
1990,Malaysia,Total," 7,000.2 "
1992,Malaysia,Total," 7,319.0 "
1993,Malaysia,Total," 7,700.1 "
1995,Malaysia,Total," 7,893.1 "
1996,Malaysia,Total," 8,616.0 "
1997,Malaysia,Total," 8,784.0 "
1998,Malaysia,Total," 8,883.6 "
1999,Malaysia,Total," 9,151.5 "
2000,Malaysia,Total," 9,556.1 "
2001,Malaysia,Total," 9,699.4 "
2002,Malaysia,Total," 9,886.2 "
2003,Malaysia,Total," 10,239.6 "
2004,Malaysia,Total," 10,346.2 "
2005,Malaysia,Total," 10,413.4 "
2006,Malaysia,Total," 10,628.9 "
2007,Malaysia,Total," 10,889.5 "
2008,Malaysia,Total," 11,028.1 "
2009,Malaysia,Total," 11,315.3 "
2010,Malaysia,Total," 12,303.9 "
2011,Malaysia,Total," 12,740.7 "
2012,Malaysia,Total," 13,221.7 "
2013,Malaysia,Total," 13,980.5 "
2014,Malaysia,Total," 14,263.6 "
2015,Malaysia,Total," 14,518.0 "
1982,Johor,Total, 653.1 
1983,Johor,Total, 650.9 
1984,Johor,Total, 688.2 
1985,Johor,Total, 710.4 
1986,Johor,Total, 751.2 
1987,Johor,Total, 781.8 
1988,Johor,Total, 837.0 
1989,Johor,Total, 861.8 
1990,Johor,Total, 949.1 
1992,Johor,Total, 947.1 
1993,Johor,Total," 1,003.0 "
1995,Johor,Total, 915.4 
1996,Johor,Total," 1,018.4 "
1997,Johor,Total," 1,076.9 "
1998,Johor,Total," 1,044.3 "
1999,Johor,Total," 1,060.4 "
2000,Johor,Total," 1,222.4 "
2001,Johor,Total," 1,279.0 "
2002,Johor,Total," 1,259.0 "
2003,Johor,Total," 1,315.3 "
2004,Johor,Total," 1,278.8 "
2005,Johor,Total," 1,280.0 "
2006,Johor,Total," 1,285.8 "
2007,Johor,Total," 1,313.6 "
2008,Johor,Total," 1,313.1 "
2009,Johor,Total," 1,350.0 "
2010,Johor,Total," 1,453.5 "
2011,Johor,Total," 1,499.9 "
2012,Johor,Total," 1,529.4 "
2013,Johor,Total," 1,598.9 "
2014,Johor,Total," 1,621.1 "
2015,Johor,Total," 1,633.2 "
1982,Kedah,Total, 403.9 
1983,Kedah,Total, 388.2 
1984,Kedah,Total, 442.6 
1985,Kedah,Total, 445.4 
1986,Kedah,Total, 455.0 
1987,Kedah,Total, 456.5 
1988,Kedah,Total, 496.1 
1989,Kedah,Total, 470.0 
1990,Kedah,Total, 489.3 
1992,Kedah,Total, 514.0 
1993,Kedah,Total, 492.8 
1995,Kedah,Total, 531.7 
1996,Kedah,Total, 549.8 
1997,Kedah,Total, 616.6 
1998,Kedah,Total, 587.1 
1999,Kedah,Total, 701.4 
2000,Kedah,Total, 645.2 
2001,Kedah,Total, 727.4 
2002,Kedah,Total, 666.5 
2003,Kedah,Total, 680.1 
2004,Kedah,Total, 680.3 
2005,Kedah,Total, 677.8 
2006,Kedah,Total, 682.4 
